1244	4.55E-01
1245	4.57E-01
1246	4.59E-01
1247	4.57E-01
1248	4.59E-01
1249	4.60E-01
1250	4.57E-01
1251	4.53E-01
1252	4.51E-01
1253	4.48E-01
1254	4.44E-01
1255	4.51E-01
1256	4.40E-01
1257	4.35E-01
1258	4.45E-01
1259	4.27E-01
1260	4.31E-01
1261	4.11E-01
1262	3.96E-01
1263	4.00E-01
1264	3.71E-01
1265	3.96E-01
1266	3.85E-01
1267	3.88E-01
1268	3.71E-01
1269	2.47E-01
1270	3.87E-01
1271	4.08E-01
1272	4.09E-01
1273	4.06E-01
1274	4.06E-01
1275	4.12E-01
1276	4.17E-01
1277	4.20E-01
1278	4.28E-01
1279	4.25E-01
1280	4.22E-01
1281	4.13E-01
1282	3.73E-01
1283	4.07E-01
1284	4.21E-01
1285	4.24E-01
1286	4.27E-01
1287	4.22E-01
1288	4.20E-01
1289	4.09E-01
1290	4.13E-01
1291	4.18E-01
1292	3.96E-01
1293	4.13E-01
1294	4.04E-01
1295	4.05E-01
1296	3.90E-01
1297	3.71E-01
1298	3.92E-01
1299	4.09E-01
1300	3.53E-01
1301	3.62E-01
1302	3.92E-01
1303	3.46E-01
1304	3.01E-01
1305	3.84E-01
1306	3.85E-01
1307	3.06E-01
1308	3.47E-01
1309	3.84E-01
1310	3.01E-01
1311	3.34E-01
1312	3.33E-01
1313	3.14E-01
1314	2.88E-01
1315	2.86E-01
1316	3.24E-01
1317	3.12E-01
1318	3.33E-01
1319	2.69E-01
1320	2.59E-01
1321	2.99E-01
1322	3.02E-01
1323	2.33E-01
1324	2.62E-01
1325	3.22E-01
1326	2.81E-01
1327	2.66E-01
1328	2.35E-01
1329	1.78E-01
1330	2.29E-01
1331	1.45E-01
1332	1.46E-01
1333	2.03E-01
1334	1.69E-01
1335	2.31E-01
1336	1.83E-01
1337	1.65E-01
1338	1.78E-01
1339	1.77E-01
1340	1.68E-01
1341	1.70E-01
1342	1.78E-01
1343	1.27E-01
1344	7.56E-02
1345	1.09E-01
1346	5.82E-02
1347	6.01E-02
1348	4.75E-03
1349	1.62E-02
1350	1.60E-02
1351	4.63E-03
1352	1.52E-03
1353	9.61E-05
1354	2.90E-04
1355	3.60E-06
1356	4.81E-05
1357	7.18E-05
1358	4.19E-06
1359	7.34E-07
1360	2.14E-06
1361	4.81E-09
1362	1.81E-11
1363	3.16E-06
1364	1.36E-06
1365	9.08E-12
1366	1.28E-05
1367	4.98E-06
1368	1.48E-13
1369	5.17E-07
1370	2.92E-07
1371	1.97E-08
1372	2.75E-06
1373	4.44E-05
1374	1.79E-04
1375	3.23E-04
1376	2.57E-04
1377	1.23E-04
1378	1.11E-03
1379	5.22E-05
1380	8.16E-05
1381	2.37E-06
1382	2.57E-06
1383	4.40E-08
1384	6.17E-07
1385	2.09E-06
1386	2.52E-06
1387	1.99E-04
1388	4.03E-06
1389	5.81E-04
1390	4.93E-04
1391	3.44E-04
1392	2.38E-05
1393	1.16E-04
1394	7.55E-05
1395	6.71E-07
1396	6.32E-09
1397	4.91E-05
1398	1.27E-03
1399	8.12E-04
1400	3.25E-09
1401	1.05E-08
1402	1.84E-03
1403	2.38E-03
1404	7.39E-04
1405	3.64E-07
1406	2.04E-03
1407	1.75E-04
1408	1.65E-03
1409	6.19E-04
1410	4.67E-04
1411	2.11E-03
1412	2.64E-03
1413	2.34E-02
1414	3.64E-04
1415	1.84E-04
1416	3.56E-02
1417	1.18E-02
1418	1.36E-02
1419	2.14E-03
1420	8.27E-03
1421	9.16E-03
1422	4.63E-02
1423	9.22E-03
1424	1.70E-02
1425	2.59E-02
1426	2.78E-02
1427	4.95E-02
1428	4.56E-03
1429	3.80E-02
1430	6.16E-02
1431	5.02E-02
1432	2.52E-03
1433	3.58E-02
1434	2.10E-02
1435	2.14E-02
1436	3.84E-02
1437	2.99E-02
1438	1.33E-02
1439	5.10E-02
1440	3.96E-02
1441	3.18E-02
1442	3.63E-02
1443	4.51E-02
1444	6.18E-02
1445	4.98E-02
1446	2.31E-02
1447	3.62E-02
1448	1.16E-01
1449	1.02E-01
1450	2.74E-02
1451	1.13E-02
1452	6.24E-02
1453	8.20E-02
1454	1.38E-01
1455	6.62E-02
1456	8.85E-02
1457	1.17E-01
1458	1.36E-01
1459	1.63E-01
1460	8.54E-02
1461	9.03E-02
1462	1.31E-01
1463	4.32E-02
1464	1.52E-01
1465	9.34E-02
1466	6.52E-02
1467	3.61E-02
1468	7.69E-02
1469	9.48E-02
1470	4.97E-02
1471	1.78E-02
1472	4.68E-02
1473	7.02E-02
1474	9.73E-02
1475	1.85E-01
1476	6.88E-02
1477	6.97E-02
1478	6.35E-02
1479	1.20E-01
1480	6.06E-02
1481	1.15E-01
1482	5.85E-02
1483	1.49E-01
1484	1.37E-01
1485	1.25E-01
1486	1.23E-01
1487	6.06E-02
1488	9.42E-02
1489	1.90E-01
1490	1.75E-01
1491	1.98E-01
1492	1.64E-01
1493	1.82E-01
1494	2.04E-01
1495	1.83E-01
1496	1.69E-01
1497	2.29E-01
1498	1.90E-01
1499	2.18E-01
1500	2.51E-01
1501	2.66E-01
1502	2.34E-01
1503	1.85E-01
1504	1.60E-01
1505	1.84E-01
1506	2.58E-01
1507	2.55E-01
1508	2.43E-01
1509	1.87E-01
1510	2.71E-01
1511	2.65E-01
1512	2.61E-01
1513	2.42E-01
1514	2.26E-01
1515	2.66E-01
1516	2.57E-01
1517	2.49E-01
1518	2.52E-01
1519	2.44E-01
1520	2.65E-01
1521	2.75E-01
1522	2.64E-01
1523	2.80E-01
1524	2.75E-01
1525	2.59E-01
1526	2.67E-01
1527	2.62E-01
1528	2.79E-01
1529	2.72E-01
1530	2.55E-01
1531	2.70E-01
1532	2.78E-01
1533	2.77E-01
1534	2.69E-01
1535	2.67E-01
1536	2.75E-01
1537	2.73E-01
1538	2.72E-01
1539	2.73E-01
1540	2.65E-01
1541	2.69E-01
1542	2.69E-01
1543	2.72E-01
1544	2.72E-01
1545	2.77E-01
1546	2.75E-01
1547	2.73E-01
1548	2.67E-01
1549	2.73E-01
1550	2.70E-01
1551	2.71E-01
1552	2.72E-01
1553	2.71E-01
1554	2.65E-01
1555	2.68E-01
1556	2.63E-01
1557	2.71E-01
1558	2.68E-01
1559	2.68E-01
1560	2.66E-01
1561	2.70E-01
1562	2.68E-01
1563	2.67E-01
1564	2.63E-01
1565	2.67E-01
1566	2.62E-01
1567	2.63E-01
1568	2.57E-01
1569	2.55E-01
1570	2.42E-01
1571	2.35E-01
1572	2.38E-01
1573	2.34E-01
1574	2.41E-01
1575	2.40E-01
1576	2.47E-01
1577	2.16E-01
1578	2.35E-01
1579	2.37E-01
1580	2.45E-01
1581	2.49E-01
1582	2.42E-01
1583	2.48E-01
1584	2.49E-01
1585	2.59E-01
1586	2.56E-01
1587	2.53E-01
1588	2.51E-01
1589	2.32E-01
1590	2.42E-01
1591	2.42E-01
1592	2.52E-01
1593	2.58E-01
1594	2.56E-01
1595	2.58E-01
1596	2.45E-01
1597	2.47E-01
1598	2.54E-01
1599	2.42E-01
1600	2.38E-01
1601	2.23E-01
1602	2.24E-01
1603	2.24E-01
1604	2.28E-01
1605	2.37E-01
1606	2.41E-01
1607	2.33E-01
1608	2.30E-01
1609	2.27E-01
1610	2.18E-01
1611	2.27E-01
1612	2.31E-01
1613	2.37E-01
1614	2.38E-01
1615	2.41E-01
1616	2.31E-01
1617	2.35E-01
1618	2.44E-01
1619	2.41E-01
1620	2.34E-01
1621	2.34E-01
1622	2.38E-01
1623	2.42E-01
1624	2.43E-01
1625	2.38E-01
1626	2.40E-01
1627	2.41E-01
1628	2.41E-01
1629	2.41E-01
1630	2.37E-01
1631	2.38E-01
1632	2.38E-01
1633	2.33E-01
1634	2.33E-01
1635	2.34E-01
1636	2.35E-01
1637	2.27E-01
1638	2.20E-01
1639	2.20E-01
1640	2.15E-01
1641	2.20E-01
1642	2.21E-01
1643	2.15E-01
1644	2.24E-01
1645	2.18E-01
1646	2.17E-01
1647	2.28E-01
1648	2.17E-01
1649	2.19E-01
1650	2.25E-01
1651	2.09E-01
1652	2.24E-01
1653	2.23E-01
1654	2.16E-01
1655	2.22E-01
1656	2.21E-01
1657	2.22E-01
1658	2.25E-01
1659	2.21E-01
1660	2.23E-01
1661	2.24E-01
1662	2.19E-01
1663	2.22E-01
1664	2.21E-01
1665	2.12E-01
1666	1.79E-01
1667	2.11E-01
1668	2.15E-01
1669	2.15E-01
1670	2.22E-01
1671	2.19E-01
1672	2.11E-01
1673	2.16E-01
1674	2.16E-01
1675	2.14E-01
1676	2.11E-01
1677	2.12E-01
1678	2.09E-01
1679	2.13E-01
1680	2.06E-01
1681	1.94E-01
1682	2.04E-01
1683	2.09E-01
1684	1.98E-01
1685	2.13E-01
1686	2.10E-01
1687	2.05E-01
1688	2.10E-01
1689	2.07E-01
1690	2.05E-01
1691	1.93E-01
1692	2.07E-01
1693	2.11E-01
1694	2.05E-01
1695	2.10E-01
1696	2.09E-01
1697	1.81E-01
1698	2.07E-01
1699	2.06E-01
1700	2.00E-01
1702	2.04E-01
1705	1.98E-01
1710	1.88E-01
1715	1.90E-01
1720	1.87E-01
1725	1.78E-01
1730	1.74E-01
1735	1.62E-01
1740	1.68E-01
1745	1.55E-01
1750	1.66E-01
1755	1.53E-01
1760	1.60E-01
1765	1.33E-01
1770	1.42E-01
1775	1.15E-01
1780	1.01E-01
1785	7.70E-02
1790	8.89E-02
1795	4.69E-02
1800	3.18E-02
1805	1.48E-02
1810	9.69E-03
1815	3.28E-03
1820	9.88E-04
1825	1.27E-03
1830	5.20E-06
1835	6.42E-06
1840	6.27E-08
1845	6.27E-06
1850	3.00E-06
1855	2.84E-07
1860	1.12E-05
1865	1.70E-05
1870	2.67E-10
1875	4.51E-10
1880	7.75E-05
1885	4.39E-05
1890	2.23E-04
1895	1.29E-04
1900	8.62E-07
1905	5.67E-07
1910	2.30E-05
1915	1.99E-05
1920	4.51E-04
1925	9.36E-04
1930	5.52E-04
1935	3.59E-03
1940	3.28E-03
1945	1.09E-02
1950	1.67E-02
1955	1.00E-02
1960	2.19E-02
1965	2.86E-02
1970	4.88E-02
1975	6.79E-02
1980	7.55E-02
1985	8.31E-02
1990	8.56E-02
1995	8.12E-02
2000	3.82E-02
2005	1.50E-02
2010	3.97E-02
2015	2.66E-02
2020	4.50E-02
2025	7.40E-02
2030	8.49E-02
2035	9.64E-02
2040	8.98E-02
2045	9.11E-02
2050	6.79E-02
2055	5.49E-02
2060	6.92E-02
2065	6.19E-02
2070	6.57E-02
2075	7.74E-02
2080	8.68E-02
2085	8.51E-02
2090	8.91E-02
2095	8.97E-02
2100	8.61E-02
2105	9.32E-02
2110	8.97E-02
2115	9.17E-02
2120	8.76E-02
2125	8.86E-02
2130	8.98E-02
2135	9.00E-02
2140	9.08E-02
2145	8.95E-02
2150	8.46E-02
2155	8.48E-02
2160	8.42E-02
2165	7.63E-02
2170	8.20E-02
2175	8.04E-02
2180	8.18E-02
2185	7.46E-02
2190	7.91E-02
2195	7.90E-02
2200	7.12E-02
2205	7.40E-02
2210	7.93E-02
2215	7.63E-02
2220	7.77E-02
2225	7.55E-02
2230	7.58E-02
2235	7.43E-02
2240	7.31E-02
2245	7.08E-02
2250	7.19E-02
2255	6.77E-02
2260	6.69E-02
2265	6.81E-02
2270	6.49E-02
2275	6.40E-02
2280	6.63E-02
2285	6.31E-02
2290	6.32E-02
2295	6.13E-02
2300	5.88E-02
2305	5.92E-02
2310	6.39E-02
2315	5.81E-02
2320	5.20E-02
2325	5.62E-02
2330	5.68E-02
2335	5.80E-02
2340	4.58E-02
2345	5.14E-02
2350	4.15E-02
2355	4.75E-02
2360	5.02E-02
2365	4.94E-02
2370	3.08E-02
2375	4.41E-02
2380	4.26E-02
2385	3.08E-02
2390	3.71E-02
2395	4.06E-02
2400	4.42E-02
2405	3.36E-02
2410	3.38E-02
2415	2.73E-02
2420	2.66E-02
2425	3.31E-02
2430	4.51E-02
2435	1.49E-02
2440	4.32E-02
2445	2.08E-02
2450	1.36E-02
2455	2.49E-02
2460	3.34E-02
2465	2.41E-02
2470	1.67E-02
2475	1.65E-02
2480	8.04E-03
2485	5.61E-03
2490	3.51E-03
2495	2.88E-03
2500	7.06E-03
2505	1.52E-03
2510	2.22E-03
2515	5.19E-04
2520	3.71E-04
2525	4.14E-05
2530	6.36E-07
2535	1.75E-07
2540	3.77E-07
2545	5.38E-11
2550	2.82E-13
2555	1.04E-09
2560	3.10E-11
2565	1.60E-14
2570	1.53E-18
2575	1.08E-27
2580	3.82E-22
2585	1.72E-34
2590	5.48E-31
2595	2.28E-33
2600	4.49E-28
2605	5.81E-35
2610	5.94E-34
2615	1.12E-37
2620	5.65E-29
2625	3.87E-28
2630	2.80E-45
2635	3.90E-16
2640	1.18E-16
2645	9.00E-19
2650	1.43E-19
2655	1.31E-27
2660	2.61E-25
2665	1.11E-37
2670	0.00E+00
2675	0.00E+00
2680	0.00E+00
2685	0.00E+00
2690	1.02E-29
2695	7.13E-33
2700	0.00E+00
2705	2.93E-42
2710	1.13E-35
2715	3.86E-26
2720	5.61E-45
2725	7.29E-22
2730	6.07E-19
2735	5.49E-21
2740	2.33E-27
2745	1.31E-23
2750	1.66E-28
2755	6.73E-44
2760	0.00E+00
2765	2.68E-27
2770	8.38E-24
2775	4.00E-38
2780	4.81E-34
2785	3.89E-27
2790	1.22E-16
2795	3.62E-16
2800	1.65E-12
2805	6.75E-14
2810	4.02E-10
2815	2.87E-10
2820	2.05E-11
2825	1.76E-07
2830	3.90E-06
2835	2.13E-10
2840	1.96E-07
2845	4.06E-05
2850	1.16E-06
2855	4.49E-07
2860	2.54E-05
2865	1.68E-04
2870	6.31E-06
2875	3.92E-04
2880	2.47E-04
2885	4.53E-04
2890	1.86E-04
2895	2.66E-03
2900	8.12E-04
2905	1.11E-04
2910	2.72E-03
2915	1.26E-03
2920	2.89E-03
2925	1.08E-03
2930	5.89E-03
2935	6.49E-03
2940	1.63E-03
2945	1.45E-03
2950	5.23E-03
2955	2.34E-03
2960	4.60E-03
2965	7.44E-03
2970	3.52E-04
2975	8.54E-04
2980	1.34E-03
2985	6.96E-03
2990	1.03E-02
2995	4.28E-03
3000	7.85E-03
3005	2.89E-03
3010	6.85E-03
3015	5.56E-03
3020	6.34E-04
3025	7.50E-03
3030	6.08E-03
3035	2.50E-03
3040	2.02E-03
3045	4.21E-03
3050	1.03E-03
3055	2.89E-04
3060	6.30E-03
3065	2.91E-03
3070	1.75E-03
3075	6.02E-03
3080	3.62E-03
3085	1.77E-03
3090	2.38E-03
3095	6.55E-04
3100	4.40E-03
3105	9.22E-04
3110	8.46E-04
3115	2.27E-03
3120	9.82E-03
3125	3.03E-03
3130	5.76E-03
3135	1.14E-02
3140	3.32E-03
3145	3.25E-03
3150	6.67E-03
3155	5.64E-03
3160	9.23E-03
3165	1.40E-02
3170	1.25E-02
3175	9.23E-03
3180	1.06E-02
3185	8.08E-03
3190	4.24E-03
3195	2.69E-03
3200	4.38E-04
3205	3.10E-04
3210	1.36E-04
3215	4.98E-04
3220	1.61E-03
3225	1.99E-04
3230	3.41E-04
3235	7.29E-03
3240	3.75E-03
3245	7.34E-04
3250	2.61E-03
3255	9.94E-03
3260	1.22E-03
3265	2.45E-03
3270	1.22E-03
3275	5.93E-03
3280	2.86E-03
3285	1.11E-02
3290	8.76E-03
3295	1.22E-03
3300	1.78E-03
3305	3.94E-03
3310	3.92E-03
3315	1.61E-05
3320	6.00E-05
3325	3.52E-03
3330	4.66E-03
3335	9.07E-03
3340	3.46E-03
3345	3.54E-03
3350	8.03E-03
3355	3.63E-03
3360	5.24E-03
3365	7.19E-03
3370	3.94E-03
3375	8.46E-03
3380	5.11E-03
3385	7.49E-03
3390	9.86E-03
3395	9.55E-03
3400	1.25E-02
3405	4.46E-03
3410	7.08E-03
3415	7.28E-03
3420	1.32E-02
3425	1.00E-02
3430	8.69E-03
3435	1.16E-02
3440	8.03E-03
3445	1.13E-02
3450	1.12E-02
3455	8.31E-03
3460	1.25E-02
3465	9.82E-03
3470	1.23E-02
3475	1.09E-02
3480	1.12E-02
3485	1.21E-02
3490	1.04E-02
3495	1.23E-02
3500	1.19E-02
3505	1.18E-02
3510	1.20E-02
3515	1.15E-02
3520	1.21E-02
3525	1.14E-02
3530	1.11E-02
3535	9.46E-03
3540	9.03E-03
3545	9.54E-03
3550	1.05E-02
3555	9.06E-03
3560	1.08E-02
3565	1.09E-02
3570	8.34E-03
3575	8.64E-03
3580	1.02E-02
3585	9.17E-03
3590	9.45E-03
3595	9.67E-03
3600	1.03E-02
3605	1.04E-02
3610	9.48E-03
3615	9.47E-03
3620	1.16E-02
3625	1.02E-02
3630	9.96E-03
3635	1.03E-02
3640	1.15E-02
3645	1.06E-02
3650	1.01E-02
3655	1.10E-02
3660	1.09E-02
3665	1.03E-02
3670	7.90E-03
3675	4.83E-03
3680	8.33E-03
3685	9.44E-03
3690	9.69E-03
3695	1.01E-02
3700	1.09E-02
3705	1.08E-02
3710	9.36E-03
3715	9.23E-03
3720	1.04E-02
3725	1.07E-02
3730	9.27E-03
3735	8.58E-03
3740	8.85E-03
3745	1.03E-02
3750	9.29E-03
3755	8.99E-03
3760	8.86E-03
3765	8.55E-03
3770	9.12E-03
3775	9.05E-03
3780	9.57E-03
3785	8.81E-03
3790	7.76E-03
3795	8.87E-03
3800	9.86E-03
3805	9.30E-03
3810	8.25E-03
3815	7.76E-03
3820	9.66E-03
3825	9.51E-03
3830	9.59E-03
3835	7.69E-03
3840	8.98E-03
3845	8.78E-03
3850	8.83E-03
3855	8.51E-03
3860	7.99E-03
3865	8.10E-03
3870	7.36E-03
3875	6.76E-03
3880	6.53E-03
3885	6.77E-03
3890	6.88E-03
3895	7.48E-03
3900	7.93E-03
3905	7.93E-03
3910	7.14E-03
3915	6.99E-03
3920	6.95E-03
3925	6.85E-03
3930	7.05E-03
3935	7.35E-03
3940	7.40E-03
3945	7.54E-03
3950	7.63E-03
3955	7.72E-03
3960	7.75E-03
3965	7.81E-03
3970	7.68E-03
3975	7.51E-03
3980	7.39E-03
3985	7.43E-03
3990	7.37E-03
3995	7.21E-03
4000	7.10E-03
